"","X","cohort","current_age","next_age","trans_female","trans_male","cohort_group","trans_gap"
"1",0,2009,1,2,0.96515397082658,0.97040864255519,2005,0.994585093847914
"2",1,2009,2,3,0.941785614329695,0.944820909970958,2005,0.996787438117392
"3",2,2009,3,4,0.924517087667162,0.942110655737705,2005,0.981325369834856
"4",3,2009,4,5,0.916425586628094,0.930940728656879,2005,0.984408092178192
"5",4,2009,5,6,0.918274289722904,0.940420560747664,2005,0.976450673295411
"6",5,2009,6,7,0.927807486631016,0.940372670807453,2005,0.986638080235096
"7",6,2009,7,8,0.930835734870317,0.947159841479524,2005,0.982765204040209
"8",7,2009,8,9,0.926581158779301,0.946304044630405,2005,0.979157982085127
"9",8,2009,9,10,0.924105011933174,0.945467943994105,2005,0.977404911296428
"10",9,2008,1,2,0.960080995082441,0.96215655780197,2005,0.9978428014623
"11",10,2008,2,3,0.936727930099428,0.94989224137931,2005,0.986141258232863
"12",11,2008,3,4,0.939530395625603,0.95745887691435,2005,0.981274933345935
"13",12,2008,4,5,0.924683327627525,0.938981042654028,2005,0.984773159012784
"14",13,2008,5,6,0.919289152165864,0.936277602523659,2005,0.981855327616506
"15",14,2008,6,7,0.92066049134112,0.93733153638814,2005,0.98221435596709
"16",15,2008,7,8,0.928258967629046,0.931703810208483,2005,0.996302641953706
"17",16,2008,8,9,0.926013195098963,0.941358024691358,2005,0.983699262990374
"18",17,2008,9,10,0.928753180661578,0.941803278688525,2005,0.986143499048847
"19",18,2008,10,11,0.938630136986301,0.944299390774587,2005,0.993996338614986
"20",19,2006,1,2,0.968986905582357,0.969187675070028,2005,0.999792847667345
"21",20,2006,2,3,0.930654338549075,0.952023121387283,2005,0.977554344681178
"22",21,2006,3,4,0.935040122277417,0.95264116575592,2005,0.981523952447996
"23",22,2006,4,5,0.921127911728647,0.946462715105163,2005,0.97323211683653
"24",23,2006,5,6,0.935226264418811,0.933333333333333,2005,1.00202814044873
"25",24,2006,6,7,0.934535104364326,0.938672438672439,2005,0.995592355610266
"26",25,2006,7,8,0.937055837563452,0.950807071483474,2005,0.985537303694463
"27",26,2006,8,9,0.927410617551463,0.935327405012126,2005,0.991535811504891
"28",27,2006,9,10,0.934579439252336,0.937770095073466,2005,0.996597614022998
"29",28,2006,10,11,0.9425,0.961290322580645,2005,0.980453020134228
"30",29,2006,11,12,0.937002652519894,0.946308724832215,2005,0.990165923584852
"31",30,2006,12,13,0.931351733899505,0.941236068895643,2005,0.989498559051465
"32",31,2004,1,2,0.963734567901235,0.967071057192374,2000,0.99654990265056
"33",32,2004,2,3,0.934747798238591,0.948626045400239,2000,0.985370160107935
"34",33,2004,3,4,0.944325481798715,0.952770780856423,2000,0.991136064174726
"35",34,2004,4,5,0.929705215419501,0.933245208195638,2000,0.996206792443134
"36",35,2004,5,6,0.927804878048781,0.94971671388102,2000,0.976928029682981
"37",36,2004,6,7,0.936908517350158,0.947054436987323,2000,0.989286867532726
"38",37,2004,7,8,0.942199775533109,0.94488188976378,2000,0.997161429105874
"39",38,2004,8,9,0.945205479452055,0.95,2000,0.994953136265321
"40",39,2004,9,10,0.936357908002521,0.945614035087719,2000,0.990211516811571
"41",40,2004,10,11,0.932032301480485,0.945269016697588,2000,0.985996880270817
"42",41,2004,11,12,0.937906137184116,0.948969578017664,2000,0.988341627498049
"43",42,2004,12,13,0.953040800615858,0.956566701137539,2000,0.996314004535714
"44",43,2004,13,14,0.955573505654281,0.942702702702703,2000,1.01365308799336
"45",44,2004,14,15,0.954353338968724,0.946100917431193,2000,1.00872255949179
"46",45,2000,1,2,0.960975609756098,0.969083754918494,2000,0.991633184313282
"47",46,2000,2,3,0.938578680203046,0.954756380510441,2000,0.983055677199302
"48",47,2000,3,4,0.939426717144402,0.943499392466586,2000,0.9956834362007
"49",48,2000,4,5,0.937823834196891,0.949774629748873,2000,0.987417230174761
"50",49,2000,5,6,0.933701657458563,0.956610169491525,2000,0.976052405918768
"51",50,2000,6,7,0.938856015779093,0.957476966690291,2000,0.980552063852183
"52",51,2000,7,8,0.94327731092437,0.958549222797927,2000,0.984067681126505
"53",52,2000,8,9,0.955456570155902,0.960617760617761,2000,0.994627217324673
"54",53,2000,9,10,0.944055944055944,0.958199356913183,2000,0.985239592622143
"55",54,2000,10,11,0.97119341563786,0.964765100671141,2000,1.00666308820898
"56",55,2000,11,12,0.961864406779661,0.969565217391304,2000,0.992057459907274
"57",56,2000,12,13,0.964757709251101,0.958744394618834,2000,1.00627207279231
"58",57,2000,13,14,0.961643835616438,0.965388213283442,2000,0.99612137623447
"59",58,2000,14,15,0.937321937321937,0.945736434108527,2000,0.991102704217458
"60",59,2000,15,16,0.942249240121581,0.952868852459016,2000,0.988855116514691
"61",60,2000,16,17,0.96989247311828,0.966666666666667,2000,1.00333704115684
"62",61,2000,17,18,0.955654101995565,0.953281423804227,2000,1.00248895880282
"63",62,2000,18,19,0.947795823665893,0.933488914819137,2000,1.01532627610209
"64",63,2005,1,2,0.959309021113244,0.96316758747698,2005,0.995993878517192
"65",64,2005,2,3,0.94077631052421,0.959847036328872,2005,0.980131494829007
"66",65,2005,3,4,0.931093151850277,0.940903054448871,2005,0.989573949672912
"67",66,2005,4,5,0.917770671539516,0.938602681721948,2005,0.977805294414657
"68",67,2005,5,6,0.932802389248382,0.941353383458647,2005,0.990916276118489
"69",68,2005,6,7,0.941835645677695,0.94408945686901,2005,0.997612714372651
"70",69,2005,7,8,0.942776203966006,0.94839255499154,2005,0.994078031300463
"71",70,2005,8,9,0.923677884615385,0.933987511150758,2005,0.988961708360884
"72",71,2005,9,10,0.929733246584255,0.936007640878701,2005,0.993296642013995
"73",72,2005,10,11,0.939818054583625,0.938775510204082,2005,1.0011105364043
"74",73,2005,11,12,0.938198064035741,0.947826086956522,2005,0.989841994166149
"75",74,2005,12,13,0.938888888888889,0.951834862385321,2005,0.986398929049531
"76",75,2005,13,14,0.934065934065934,0.943373493975904,2005,0.990133748754438
"77",76,2010,1,2,0.948236488200964,0.95144804088586,2010,0.996624563247925
"78",77,2010,2,3,0.91998929622692,0.929722470904208,2010,0.989531096663909
"79",78,2010,3,4,0.930482838859802,0.932113625421281,2010,0.998250442309819
"80",79,2010,4,5,0.917474210690841,0.931301652892562,2010,0.985152563448402
"81",80,2010,5,6,0.926405451448041,0.937881308929562,2010,0.987764062070265
"82",81,2010,6,7,0.9271791099669,0.941454760496747,2010,0.98483660487062
"83",82,2010,7,8,0.922253074176914,0.940954773869347,2010,0.980124762409644
"84",83,2010,8,9,0.921290322580645,0.92456608811749,2010,0.996456969838127
"85",84,2002,1,2,0.957653286281429,0.966666666666667,2000,0.990675813394582
"86",85,2002,2,3,0.922155688622755,0.960408684546616,2000,0.960170085361193
"87",86,2002,3,4,0.931568431568432,0.956781914893617,2000,0.973647617150049
"88",87,2002,4,5,0.940482573726542,0.948575399583044,2000,0.991468442192303
"89",88,2002,5,6,0.942417331812999,0.95018315018315,2000,0.991827030011367
"90",89,2002,6,7,0.932849364791289,0.959136468774094,2000,0.972592947053297
"91",90,2002,7,8,0.93514915693904,0.954983922829582,2000,0.979230261979938
"92",91,2002,8,9,0.94244105409154,0.946127946127946,2000,0.996103178167926
"93",92,2002,9,10,0.950699043414275,0.943950177935943,2000,1.00714959924378
"94",93,2002,10,11,0.965170278637771,0.965127238454288,2000,1.00004459534636
"95",94,2002,11,12,0.946271050521251,0.9521484375,2000,0.993827236650011
"96",95,2002,12,13,0.942372881355932,0.956923076923077,2000,0.98479481170636
"97",96,2002,13,14,0.931654676258993,0.935691318327974,2000,0.995685925486415
"98",97,2002,14,15,0.958494208494209,0.958762886597938,2000,0.999719765848798
"99",98,2002,15,16,0.950654582074522,0.953405017921147,2000,0.997115144356359
"100",99,2002,16,17,0.956567796610169,0.947368421052632,2000,1.0097104519774
"101",100,2013,1,2,0.967477772578381,0.961398728428701,2010,1.00632312480756
"102",101,2013,2,3,0.92720677146312,0.925838450637695,2010,1.00147792611603
"103",102,2013,3,4,0.928534167970788,0.948979591836735,2010,0.978455359797174
"104",103,2013,4,5,0.909550561797753,0.912365591397849,2010,0.996914581581509
"105",104,2013,5,6,0.901791229153799,0.934001178550383,2010,0.965514016324288
"106",105,2003,1,2,0.958869962609057,0.975265017667845,2000,0.983189128327402
"107",106,2003,2,3,0.941941074523397,0.958937198067633,2000,0.982276082752358
"108",107,2003,3,4,0.936982520699172,0.956549118387909,2000,0.979544597017962
"109",108,2003,4,5,0.920471281296024,0.932192231731402,2000,0.987426466305551
"110",109,2003,5,6,0.925333333333333,0.942796610169492,2000,0.981477153558052
"111",110,2003,6,7,0.921613832853026,0.942322097378277,2000,0.978024218488704
"112",111,2003,7,8,0.942464040025016,0.954689984101749,2000,0.987193807120291
"113",112,2003,8,9,0.944260119442601,0.969192339716903,2000,0.974275260696361
"114",113,2003,9,10,0.951510892480675,0.950171821305842,2000,1.00140929371384
"115",114,2003,10,11,0.935745937961595,0.953887884267631,2000,0.980981049654525
"116",115,2003,11,12,0.952644041041831,0.950710900473934,2000,1.0020333632095
"117",116,2003,12,13,0.941176470588235,0.954137587238285,2000,0.986415882967607
"118",117,2003,13,14,0.956866197183099,0.964472309299895,2000,0.99211370607175
"119",118,2003,14,15,0.958601655933763,0.958829902491874,2000,0.999761953024704
"120",119,2003,15,16,0.937619961612284,0.955932203389831,2000,0.980843576863914
"121",120,2011,1,2,0.937357110196616,0.926476339460305,2010,1.0117442510649
"122",121,2011,2,3,0.930243902439024,0.945124525116083,2010,0.984255384045578
"123",122,2011,3,4,0.928683796539067,0.944171505136222,2010,0.983596509201027
"124",123,2011,4,5,0.90824392998306,0.923368022705771,2010,0.983620731549278
"125",124,2011,5,6,0.908921355299969,0.92827868852459,2010,0.979147067078112
"126",125,2011,6,7,0.913474692202462,0.928256070640177,2010,0.984076184465435
"127",126,2011,7,8,0.904155746911269,0.925089179548157,2010,0.977371443640588
"128",127,2001,1,2,0.971706864564007,0.975882352941176,2000,0.995721319926952
"129",128,2001,2,3,0.931742243436754,0.951175406871609,2000,0.979569316769059
"130",129,2001,3,4,0.942110655737705,0.961343472750317,2000,0.979993813285497
"131",130,2001,4,5,0.923327895595432,0.953197099538563,2000,0.968664189224254
"132",131,2001,5,6,0.935806831566549,0.957123098201936,2000,0.977728813905513
"133",132,2001,6,7,0.947765890497168,0.946531791907514,2000,1.00130381102907
"134",133,2001,7,8,0.942231075697211,0.958015267175573,2000,0.983524071046491
"135",134,2001,8,9,0.95630725863284,0.957768924302789,2000,0.998473884845436
"136",135,2001,9,10,0.964627855563744,0.950915141430948,2000,1.0144205445211
"137",136,2001,10,11,0.961802902979374,0.969378827646544,2000,0.992184763633054
"138",137,2001,11,12,0.969023034154091,0.962093862815884,2000,1.00720217808887
"139",138,2001,12,13,0.960655737704918,0.954971857410882,2000,1.00595188250829
"140",139,2001,13,14,0.949658703071672,0.954813359528487,2000,0.994601398896052
"141",140,2001,14,15,0.940700808625337,0.944444444444444,2000,0.99603615030918
"142",141,2001,15,16,0.95702005730659,0.962962962962963,2000,0.993828521049151
"143",142,2001,16,17,0.962075848303393,0.947963800904977,2000,1.01488669439165
"144",143,2001,17,18,0.952282157676348,0.943914081145585,2000,1.00886529473171
"145",144,2007,1,2,0.963733837906023,0.969565217391304,2005,0.993985572728186
"146",145,2007,2,3,0.93586387434555,0.959641255605381,2005,0.975222635416157
"147",146,2007,3,4,0.941258741258741,0.941004672897196,2005,1.00026999691804
"148",147,2007,4,5,0.924219910846954,0.949099937926754,2005,0.973785661461375
"149",148,2007,5,6,0.926446945337621,0.94375408763898,2005,0.981661385600292
"150",149,2007,6,7,0.937527114967462,0.942480942480942,2005,0.994743843307388
"151",150,2007,7,8,0.924109208699676,0.952205882352941,2005,0.970493068595799
"152",151,2007,8,9,0.934902353530295,0.941312741312741,2005,0.993189948992398
"153",152,2007,9,10,0.942153186930905,0.941755537325677,2005,1.00042224291705
"154",153,2007,10,11,0.943149516770893,0.951219512195122,2005,0.991516158656579
"155",154,2007,11,12,0.945147679324895,0.94047619047619,2005,1.00496715269989
"156",155,2012,1,2,0.958431743032593,0.958818263205013,2010,0.999596878587681
"157",156,2012,2,3,0.933464760965993,0.950513538748833,2010,0.982063613943594
"158",157,2012,3,4,0.925290390707497,0.93614931237721,2010,0.988400438342321
"159",158,2012,4,5,0.901569186875892,0.92707240293809,2010,0.972490588673146
"160",159,2012,5,6,0.909177215189873,0.928126768534239,2010,0.979583011732016
"161",160,2012,6,7,0.909502262443439,0.93109756097561,2010,0.97680662109184
"162",161,2014,1,2,0.959812458137977,0.966171617161716,2010,0.993418188952373
"163",162,2014,2,3,0.926494533612468,0.935952177625961,2010,0.989895163193613
"164",163,2014,3,4,0.917650012553352,0.932025547445255,2010,0.984576029132133
"165",164,2014,4,5,0.900683994528044,0.919725893294175,2010,0.979296115391588
